FileCode,IMDBRating,Filename,Tokens,AWL,TTR,AMP,ANDC,[BEMA],[BYPA],CAUS,CONC,COND,CONJ,[CONT],DEMO,DEMP,DPAR,DWNT,EMPH,EX,FPP1,GER,HDG,INPR,JJ,NEMD,NN,NOMZ,OSUB,[PASS],[PASTP],[PEAS],PHC,PIN,[PIRE],PIT,PLACE,POMD,PRED,[PRESP],[PRIV],PRMD,[PROD],[PUBV],RB,[SERE],[SMP],[SPAU],[SPIN],SPP2,[STPR],[SUAV],SYNE,THAC,[THATD],THVC,TIME,TO,TOBJ,TPP3,TSUB,VBD,VPRT,[WHCL],[WHOBJ],[WHQU],[WHSUB],[WZPAST],[WZPRES],XX0
tt0118564,6.9,Affliction_0118564,16485,4.14,254,0.02,0.21,1.61,0.02,0.02,0.02,0.22,0.02,3.22,0.59,0.63,0.05,0.09,0.54,0.18,3.71,0.46,0.14,0.11,3.98,0.1,28.48,0.49,0.1,0.35,0.07,0.22,0.56,7.02,0.01,1.6,0.8,0.42,0.56,0.26,1.96,0.77,0.19,0.36,3.09,0.02,0.04,0.11,0.01,3.05,0.5,0.16,0.19,0.01,0.49,0.07,0.46,1.67,0.01,3.64,0.03,2.4,9.27,0.11,0.01,0.25,0.06,0.06,0.21,1.28
tt1815862,4.8,After Earth_1815862,32111,4.48,207,0.1,0.27,1.13,0.04,0.02,0,0.07,0.01,1.09,0.38,0.33,0.05,0.15,0.35,0.2,1.52,1.02,0.02,0.08,3.68,0.04,32.6,1.15,0.03,0.42,0.03,0.19,0.62,9.17,0,1.38,0.74,0.4,0.45,0.31,1.41,0.13,0.12,0.16,2.86,0.02,0.1,0.17,0.01,0.93,0.21,0.33,0.11,0.01,0.25,0.05,0.41,1.53,0.03,4.92,0.09,1.14,9.01,0.06,0,0.07,0.02,0.06,0.42,0.52
tt0838247,5.9,After Life_0838247,21710,4.25,209,0.1,0.05,1.6,0.01,0.05,0.01,0.2,0,2.74,0.2,0.24,0.04,0.2,0.6,0.13,2.57,0.41,0.05,0.14,4.36,0.11,30.69,1,0.01,0.27,0.05,0.13,0.25,8.23,0,1.17,0.98,0.35,0.72,0.29,1.6,0.3,0.1,0.24,4.92,0,0.07,0.16,0,2.17,0.31,0.28,0.13,0,0.31,0.01,0.68,0.89,0,6.26,0,1.49,10.58,0.07,0,0.19,0.03,0.08,0.22,1.21
tt0371514,7.4,After School Special_0371514,23023,4.14,216,0.12,0.5,1.87,0.01,0.03,0.01,0.16,0.01,3.34,0.51,0.5,0.08,0.09,0.85,0.14,3.37,0.25,0.14,0.06,3.94,0.11,31.88,0.71,0.07,0.32,0.08,0.12,0.63,6.91,0,1.31,0.5,0.47,0.55,0.25,1.48,0.39,0.27,0.24,3.53,0.01,0.05,0.24,0.01,2.13,0.46,0.12,0.15,0.01,0.41,0.03,0.42,1.32,0.01,3.77,0.04,1.37,9.39,0.09,0.03,0.27,0.06,0.04,0.28,1.07
tt7985692,6.3,After the Wedding_7985692,23709,4.15,205,0.09,0.41,1.7,0.03,0.05,0.03,0.16,0,3.31,0.33,0.46,0.05,0.08,0.57,0.15,3.48,0.46,0.08,0.04,2.98,0.04,28.01,0.8,0.08,0.43,0.05,0.23,0.81,7.71,0.01,1.38,0.51,0.57,0.7,0.17,1.91,0.38,0.18,0.3,3.13,0.02,0.11,0.13,0.01,2.21,0.56,0.24,0.05,0.02,0.46,0.08,0.37,1.61,0,5.7,0.05,1.66,10.84,0.11,0.02,0.17,0.11,0.05,0.24,1.34
tt0088683,6.6,Agnes of God_0088683,14421,4.15,189,0.23,0.46,2.23,0.02,0.24,0.02,0.24,0.02,3.5,0.51,0.75,0.02,0.15,0.52,0.26,4.2,0.41,0.04,0.15,2.43,0.11,28.42,0.48,0.01,0.5,0.01,0.26,0.49,6.38,0.01,1.55,0.53,0.55,0.87,0.2,2.01,0.7,0.33,0.45,3.71,0.01,0.06,0.15,0,3.12,0.26,0.27,0.13,0.02,0.51,0.13,0.31,1.38,0.05,4.09,0.06,3.35,8.94,0.17,0.1,0.26,0.21,0.06,0.25,1.8
tt0118571,6.5,Air Force One_0118571,26493,4.56,224,0.07,0.28,1.25,0.03,0.03,0.02,0.17,0.03,1.96,0.36,0.39,0.06,0.13,0.26,0.1,2.34,0.5,0.03,0.06,4.15,0.06,35.89,1.21,0.05,0.46,0.09,0.15,0.6,8.16,0,1.04,0.69,0.44,0.45,0.38,1.02,0.56,0.16,0.32,2.37,0.01,0.03,0.14,0,1.49,0.37,0.15,0.12,0.02,0.22,0.05,0.34,0.91,0.03,3.59,0.03,1.02,8.84,0.07,0.01,0.12,0.04,0.09,0.41,0.68
tt1843432,8.2,Airforce One 2 Revenge of President Dracula_1843432,26490,4.56,226,0.07,0.28,1.25,0.03,0.03,0.02,0.17,0.03,1.96,0.36,0.39,0.06,0.13,0.26,0.1,2.34,0.5,0.03,0.06,4.15,0.06,35.89,1.21,0.05,0.46,0.09,0.15,0.6,8.16,0,1.04,0.69,0.44,0.45,0.38,1.02,0.56,0.16,0.32,2.37,0.01,0.03,0.14,0,1.49,0.37,0.15,0.12,0.02,0.22,0.05,0.34,0.91,0.03,3.59,0.03,1.02,8.84,0.07,0.01,0.12,0.04,0.09,0.41,0.68
tt0083530,6.2,Airplane II The Sequel_0083530,22551,4.36,240,0.16,0.22,1.59,0.04,0,0,0.15,0.01,2.39,0.74,0.57,0.11,0.09,0.46,0.17,2.66,0.46,0.02,0.05,3.25,0.11,37.07,0.61,0.04,0.47,0.1,0.19,0.65,8.86,0,1.01,0.55,0.39,0.58,0.23,1.27,0.41,0.13,0.22,2.32,0,0.09,0.13,0,1.68,0.34,0.14,0.16,0.01,0.2,0.06,0.3,1.15,0.03,3.09,0.08,1.04,9.1,0.09,0.02,0.13,0.15,0.06,0.36,0.66
tt0080339,7.7,Airplane_0080339,19204,4.48,204,0.14,0.42,1.87,0.04,0.02,0.02,0.17,0.01,2.62,0.51,0.5,0.14,0.14,0.54,0.32,3.26,0.8,0.05,0.03,3.36,0.12,35.55,0.69,0.09,0.37,0.06,0.21,0.82,7.39,0,1.11,0.4,0.52,0.57,0.2,1.37,0.71,0.1,0.21,2.91,0.01,0.01,0.23,0.01,2.03,0.33,0.18,0.17,0.01,0.32,0.08,0.46,1.34,0.03,2.42,0.01,1.25,8.69,0.1,0.01,0.11,0.08,0.03,0.38,0.8
tt6543896,6.5,Al Wazeer Jay_6543896,26145,4.47,258,0.06,0.06,0.73,0.08,0.02,0,0.09,0.01,0.27,0.2,0.1,0.01,0.15,0.3,0.1,0.47,0.33,0.02,0.01,3.77,0.01,37.16,0.7,0.08,0.42,0.04,0.2,0.95,7.53,0.02,0.43,0.76,0.14,0.33,0.17,0.99,0.08,0.13,0.16,2.16,0,0.04,0.2,0.02,0.24,0.12,0.21,0.07,0.02,0.15,0.08,0.22,1.56,0.04,4.76,0.03,0.4,8.6,0.05,0.02,0.04,0.05,0.05,0.57,0.25
tt0103639,8,Aladdin_0103639,17759,4.07,223,0.08,0.56,1.71,0.1,0.02,0.01,0.17,0.03,2.44,0.46,0.59,0.26,0.16,0.61,0.15,3.32,0.26,0.02,0.03,3.74,0.1,27.75,0.35,0.01,0.49,0.11,0.21,0.63,8.68,0.01,1.28,0.66,0.44,0.6,0.28,1.48,0.57,0.15,0.23,3.94,0.03,0.12,0.16,0.01,2.41,0.47,0.13,0.13,0.01,0.3,0.05,0.26,1.37,0,4.76,0.02,0.86,10.57,0.07,0.01,0.26,0.07,0.07,0.34,0.92
tt0375173,6.2,Alfie_0375173,25045,4.2,250,0.14,0.39,1.39,0,0.02,0.04,0.18,0.02,3.2,0.47,0.4,0.12,0.14,0.64,0.14,3.23,0.57,0.1,0.06,4.42,0.07,31.12,0.8,0.12,0.3,0.08,0.16,0.55,8.04,0.01,0.97,0.51,0.43,0.55,0.55,1.89,0.46,0.18,0.28,3.72,0.02,0.07,0.14,0.02,1.75,0.34,0.27,0.1,0,0.38,0.04,0.58,1.24,0.02,4.47,0.04,1.79,9.05,0.09,0.02,0.15,0.08,0.05,0.37,0.95
tt1014759,6.4,Alice in Wonderland_1014759,17710,4.25,228,0.12,0.27,1.51,0.03,0.02,0.01,0.25,0.03,2.56,0.34,0.33,0.05,0.14,0.33,0.22,2.55,0.27,0.01,0.06,4.12,0.16,29.72,0.48,0.05,0.42,0.06,0.23,0.59,7.19,0,1.55,0.64,0.43,0.53,0.29,1.41,0.59,0.19,0.16,2.77,0,0.06,0.15,0,1.96,0.29,0.13,0.1,0.01,0.32,0.05,0.43,1.01,0.01,6.39,0.07,1.03,9.54,0.1,0.01,0.13,0.1,0.07,0.19,0.93
tt2316204,6.4,Alien Covenant_2316204,22134,4.57,259,0.21,0.49,1.44,0.02,0.03,0.01,0.17,0.01,1.63,0.29,0.35,0.09,0.24,0.58,0.14,2.19,0.9,0.02,0.07,5.15,0.1,30.95,1.03,0.02,0.4,0.17,0.16,1.06,8.81,0.01,1.44,0.75,0.49,0.63,0.64,1.5,0.28,0.14,0.16,3.81,0.03,0.05,0.27,0,1.09,0.39,0.26,0.1,0,0.27,0.01,0.53,0.97,0.02,4.67,0.06,1.07,8.4,0.06,0,0.09,0.02,0.02,0.4,0.61
