FileCode,IMDBRating,Filename,Tokens,AWL,TTR,AMP,ANDC,[BEMA],[BYPA],CAUS,CONC,COND,CONJ,[CONT],DEMO,DEMP,DPAR,DWNT,EMPH,EX,FPP1,GER,HDG,INPR,JJ,NEMD,NN,NOMZ,OSUB,[PASS],[PASTP],[PEAS],PHC,PIN,[PIRE],PIT,PLACE,POMD,PRED,[PRESP],[PRIV],PRMD,[PROD],[PUBV],RB,[SERE],[SMP],[SPAU],[SPIN],SPP2,[STPR],[SUAV],SYNE,THAC,[THATD],THVC,TIME,TO,TOBJ,TPP3,TSUB,VBD,VPRT,[WHCL],[WHOBJ],[WHQU],[WHSUB],[WZPAST],[WZPRES],XX0
tt9130508,6.6,Cherry_9130508,20686,4.14,241,0.18,0.6,1.79,0.02,0.07,0.01,0.2,0.02,3.29,0.47,0.55,0.1,0.15,0.6,0.17,3.2,0.54,0.05,0.07,4.24,0.12,31.27,0.57,0.15,0.35,0.07,0.18,0.66,7.63,0,1.18,0.56,0.48,0.55,0.28,1.57,0.46,0.18,0.36,3.47,0.08,0.03,0.19,0,2.48,0.31,0.16,0.13,0.01,0.35,0.12,0.41,1.64,0.05,3.95,0.06,1.64,9.06,0.1,0,0.15,0.12,0.04,0.24,1.38
tt0206634,7.9,Children of Men_0206634,25852,4.38,220,0.05,0.36,1.16,0.04,0,0.02,0.03,0.01,1.52,0.3,0.3,0.09,0.14,0.32,0.11,1.4,0.56,0.02,0.06,4.45,0.03,33.27,0.85,0.03,0.4,0.18,0.21,0.52,9.29,0,1.04,1.15,0.27,0.46,1.49,1.36,0.22,0.13,0.17,2.4,0.01,0.04,0.14,0,1.03,0.5,0.19,0.14,0,0.15,0.02,0.29,0.94,0.02,4.47,0.09,1.7,7.83,0.06,0,0.12,0.05,0.12,1.13,0.63
tt0087050,5.6,Children of the Corn_0087050,27050,4.2,208,0.12,0.52,1.53,0.07,0.02,0.03,0.16,0.05,1.63,0.5,0.38,0.05,0.23,0.55,0.3,1.59,0.55,0.07,0.12,3.87,0.06,27.8,0.7,0.07,0.75,0.11,0.4,0.88,9.52,0.04,1.5,0.81,0.34,0.59,0.37,1.42,0.34,0.16,0.2,3.55,0.07,0.08,0.23,0,0.85,0.24,0.18,0.2,0.02,0.28,0.04,0.37,1.31,0.05,5.81,0.08,1.23,10.07,0.11,0.01,0.13,0.09,0.04,0.26,0.79
tt0163579,5.2,Chill Factor_0163579,14059,4.4,218,0.06,0.4,1.44,0,0.02,0.03,0.21,0.02,3.12,0.7,0.73,0.19,0.06,0.48,0.2,4.03,0.83,0.06,0.09,2.79,0.09,38.76,0.54,0.04,0.21,0.2,0.14,0.55,8.19,0.01,1.18,0.2,0.46,0.44,0.06,1.23,0.58,0.17,0.27,2.28,0.01,0.01,0.09,0.01,2.99,0.65,0.11,0.09,0,0.33,0.07,0.36,0.86,0.04,1,0.06,2.06,7.6,0.07,0.01,0.08,0.07,0.03,0.08,1.04
tt0071315,8.1,Chinatown_0071315,25807,4.26,213,0.13,0.29,1.6,0.04,0.03,0.02,0.23,0.03,2.96,0.51,0.52,0.13,0.22,0.48,0.27,2.73,0.39,0.04,0.07,3.56,0.06,27.58,0.76,0.07,0.5,0.03,0.22,0.46,8.88,0.01,1.59,0.64,0.45,0.57,0.45,1.66,0.58,0.23,0.38,3.88,0.04,0.1,0.18,0,2.39,0.38,0.31,0.11,0,0.35,0.04,0.42,1.19,0.02,5.21,0.05,1.82,9.74,0.14,0.04,0.25,0.14,0.03,0.34,1.1
tt0241303,7.2,Chocolat_0241303,28144,4.52,242,0.16,0.72,1.42,0.1,0.03,0.02,0.2,0.02,2.61,0.25,0.34,0.13,0.16,0.44,0.08,1.4,0.54,0.04,0.08,4.57,0.11,33.29,0.79,0.05,0.43,0.12,0.17,0.71,8.54,0.01,1.04,0.68,0.34,0.59,0.61,1.47,0.69,0.14,0.31,4.06,0.06,0.06,0.22,0.01,1.53,0.22,0.15,0.09,0.01,0.32,0.11,0.45,1.23,0.05,4.42,0.04,1.16,8.68,0.07,0.02,0.16,0.04,0.05,0.34,0.91
tt2416048,7.1,Christ Complex_2416048,12696,4,220,0.1,0.14,2.26,0.01,0.13,0.13,0.21,0.02,3.17,0.67,0.76,0.09,0.14,0.76,0.1,4.36,0.31,0.13,0.06,3.1,0.06,27.08,0.87,0.08,0.46,0.02,0.29,0.5,7.46,0.01,1.29,0.69,0.43,0.95,0.2,2.17,0.46,0.25,0.18,3.25,0,0.11,0.2,0,3.21,0.24,0.09,0.06,0.01,0.57,0.07,0.6,1.93,0.04,4.39,0.09,1.98,10.64,0.11,0.01,0.23,0.06,0.04,0.24,1.39
tt1706593,7,Chronicle_1706593,18996,4.18,200,0.14,1.14,1.81,0.04,0.05,0.04,0.08,0.02,3.8,0.36,0.68,0.09,0.14,0.82,0.28,3.84,0.62,0.06,0.07,3.54,0.08,28.89,0.56,0.04,0.51,0.08,0.13,0.64,7.68,0.01,1.43,0.9,0.6,0.81,0.67,2.07,0.23,0.21,0.24,4.06,0.08,0.08,0.21,0.03,2.43,0.45,0.16,0.13,0,0.44,0.05,0.57,0.95,0.01,2.74,0.03,1.25,9.98,0.11,0.01,0.24,0.02,0.04,0.41,1.28
tt0095765,8.5,Cinema Paradiso_0095765,33535,4.31,212,0.09,0.7,1.58,0.07,0.05,0.01,0.37,0.04,2.01,0.45,0.27,0.12,0.28,0.35,0.31,1.57,0.65,0.04,0.13,4.41,0.06,25.58,0.86,0.03,0.71,0.15,0.73,0.57,9.81,0.01,1.15,0.72,0.42,0.66,0.27,1.75,0.45,0.16,0.38,3.41,0.03,0.13,0.3,0,1.32,0.33,0.21,0.12,0.02,0.15,0.11,0.58,1.28,0.04,5.55,0.08,1.36,9.63,0.12,0.02,0.1,0.12,0.11,0.35,0.92
tt0450405,5.8,Cirque du Freak The Vampire s Assistant_0450405,23555,4.23,227,0.06,0.22,1.62,0.04,0.05,0.03,0.14,0.03,2.42,0.23,0.41,0.03,0.3,0.51,0.18,2.36,0.45,0.04,0.08,3.81,0.1,29.9,0.42,0.03,0.46,0.05,0.11,0.53,7.68,0.01,1.64,0.87,0.43,0.65,0.29,1.72,0.5,0.15,0.29,3.66,0.01,0.12,0.13,0,1.79,0.61,0.24,0.17,0,0.31,0.04,0.43,1.72,0.02,5.5,0.01,1.52,10.89,0.13,0.01,0.17,0.13,0.07,0.43,0.9
tt0033467,8.2,Citizen Kane_0033467,34985,4.3,236,0.34,0.44,1.78,0.05,0.08,0.02,0.23,0.05,2.67,0.66,0.63,0.11,0.26,0.51,0.29,2.92,0.53,0.09,0.07,4.2,0.13,26.95,0.9,0.05,0.74,0.11,0.43,0.54,9.5,0.09,1.29,0.53,0.47,0.53,0.37,1.9,0.64,0.22,0.45,3.48,0.05,0.09,0.23,0,2.04,0.3,0.26,0.17,0.01,0.33,0.13,0.56,1.47,0.07,4.09,0.05,1.86,8.33,0.13,0.01,0.18,0.15,0.04,0.25,1.29
tt1174730,7.3,City Island_1174730,21370,4.13,221,0.09,0.49,1.72,0.01,0.05,0.01,0.22,0.03,2.61,0.41,0.54,0.15,0.11,0.56,0.09,3.56,0.46,0.09,0.1,4.08,0.09,29.14,0.84,0.05,0.39,0.09,0.11,0.76,7.96,0.01,1.23,0.56,0.39,0.46,0.24,1.82,0.35,0.24,0.28,3.97,0.03,0.08,0.1,0,2.49,0.36,0.15,0.15,0.01,0.36,0.07,0.42,0.89,0.06,5.19,0.07,1.84,9.46,0.12,0.01,0.2,0.15,0.05,0.37,1.15
tt0103976,6.5,City of Joy_0103976,30446,4.21,226,0.17,0.49,1.31,0.04,0.04,0.05,0.19,0.02,1.98,0.45,0.42,0.11,0.19,0.42,0.17,3.08,0.41,0.03,0.03,3.84,0.13,29.35,0.85,0.04,0.5,0.11,0.22,0.89,9.28,0.03,0.91,0.8,0.44,0.48,0.36,1.25,0.52,0.17,0.29,2.86,0.01,0.06,0.14,0,1.63,0.28,0.32,0.1,0.01,0.29,0.08,0.46,1.42,0.02,5.16,0.05,0.9,9.53,0.05,0.01,0.11,0.05,0.09,0.46,0.82
tt0800320,5.8,Clash of the Titans_0800320,23766,4.52,217,0.05,0.39,1.17,0.08,0.02,0.02,0.15,0.02,1.15,0.48,0.3,0.05,0.21,0.42,0.06,2.78,0.64,0.01,0.08,4.37,0.15,31.68,0.94,0.04,0.57,0.14,0.35,0.84,8.86,0.03,0.82,0.74,0.41,0.41,0.51,1.54,0.58,0.13,0.17,2.97,0.05,0.09,0.13,0,1.71,0.17,0.3,0.2,0,0.27,0.05,0.4,1.08,0.02,5.07,0.03,1.04,9.01,0.08,0,0.11,0.06,0.03,0.19,0.8
tt0085346,6,Class_0085346,21668,4.25,232,0.17,0.15,2.61,0.04,0.14,0,0.37,0.11,4.55,0.61,1.19,0.07,0.13,0.71,0.2,4.69,0.38,0.13,0.15,3.7,0.08,24.1,0.68,0.14,0.32,0.05,0.35,0.29,6.58,0.01,1.86,0.35,0.83,1.12,0.12,2.23,0.71,0.36,1.11,3.6,0.02,0.11,0.13,0,3.55,0.45,0.32,0.17,0.02,0.59,0.16,0.44,1.6,0.11,3.43,0.07,1.84,10.31,0.15,0.02,0.32,0.15,0.04,0.13,2.14
tt0109445,7.7,Clerks_0109445,24394,4.16,210,0.07,0.52,1.94,0.02,0.13,0.02,0.27,0.05,3.65,0.86,0.75,0.07,0.14,0.85,0.14,4.41,0.39,0.11,0.11,3.46,0.09,27.39,0.54,0.1,0.57,0.04,0.11,0.37,6.84,0.02,1.35,0.47,0.55,0.59,0.29,1.71,0.6,0.2,0.5,3.97,0.03,0.04,0.17,0,3.63,0.47,0.18,0.12,0,0.47,0.08,0.58,1.69,0.02,2.99,0.1,2.73,9.11,0.12,0.03,0.28,0.09,0.03,0.2,1.42
tt0389860,6.4,Click_0389860,21677,4.27,242,0.09,0.12,1.42,0.03,0.02,0.01,0.11,0.02,2.9,0.26,0.54,0.02,0.1,0.58,0.14,2.17,0.55,0.06,0.02,3.79,0.06,34.87,0.42,0.03,0.3,0.07,0.02,0.49,8.56,0,1.33,0.51,0.4,0.58,0.69,1.09,0.18,0.23,0.21,2.7,0.01,0.06,0.08,0,1.49,0.54,0.11,0.15,0,0.28,0.01,0.78,0.71,0.01,5.49,0.05,1.14,9.74,0.1,0.01,0.16,0.02,0.03,0.32,0.75
tt0106582,6.5,Cliffhanger_0106582,31301,4.25,222,0.09,0.75,1.31,0.07,0.05,0.01,0.19,0.05,2.18,0.41,0.43,0.11,0.24,0.54,0.22,1.37,0.41,0.04,0.08,3.9,0.04,28.48,0.64,0.04,0.59,0.12,0.35,0.8,9.55,0.01,1.58,1.29,0.59,0.51,0.54,1.19,0.34,0.13,0.18,3.96,0.05,0.03,0.27,0.01,0.98,0.35,0.28,0.18,0.02,0.22,0.07,0.42,1.27,0.04,3.66,0.1,1.02,9.46,0.06,0,0.09,0.13,0.09,0.2,0.84
tt0087065,6.6,Cloak Dagger_0087065,30086,4.22,230,0.09,0.36,0.94,0.04,0.01,0.02,0.08,0.01,1.82,0.4,0.38,0.1,0.2,0.64,0.14,1.8,0.38,0.03,0.07,3.52,0.05,29.93,0.72,0.06,0.32,0.12,0.14,0.57,8.71,0.01,1.04,0.95,0.35,0.28,0.91,1.32,0.4,0.13,0.17,3.61,0.02,0.06,0.19,0.01,1.16,0.29,0.13,0.11,0.01,0.29,0.03,0.42,1.22,0.02,5.1,0.03,1.52,7.98,0.09,0.01,0.12,0.05,0.04,0.52,0.76
tt5614844,6.6,Cloak Dagger_5614844,30086,4.22,230,0.09,0.36,0.94,0.04,0.01,0.02,0.08,0.01,1.82,0.4,0.38,0.1,0.2,0.64,0.14,1.8,0.38,0.03,0.07,3.52,0.05,29.93,0.72,0.06,0.32,0.12,0.14,0.57,8.71,0.01,1.04,0.95,0.35,0.28,0.91,1.32,0.4,0.13,0.17,3.61,0.02,0.06,0.19,0.01,1.16,0.29,0.13,0.11,0.01,0.29,0.03,0.42,1.22,0.02,5.1,0.03,1.52,7.98,0.09,0.01,0.12,0.05,0.04,0.52,0.76
tt0075860,7.6,Close Encounters of the Third Kind_0075860,32101,4.35,254,0.09,0.25,1.55,0.05,0.03,0.02,0.16,0.04,1.76,0.44,0.46,0.1,0.21,0.49,0.29,2.95,0.56,0.06,0.08,5.1,0.11,30.18,1.01,0.04,0.5,0.05,0.42,0.94,7.53,0.02,1.11,0.73,0.39,0.46,0.22,1.51,0.5,0.13,0.36,3.39,0.02,0.14,0.21,0,1.22,0.3,0.17,0.13,0.01,0.33,0.07,0.51,1.5,0.01,3.21,0.04,2.06,8.57,0.1,0.01,0.15,0.13,0.05,0.27,0.76
tt1371111,7.4,Cloud Atlas_1371111,45851,4.39,244,0.08,0.13,1.41,0.04,0.05,0.04,0.26,0.02,2.01,0.46,0.39,0.06,0.18,0.44,0.17,2.91,0.5,0.02,0.03,4.73,0.12,31.03,0.99,0.11,0.51,0.09,0.27,0.49,7.75,0.01,1.04,0.71,0.4,0.46,0.38,1.53,0.46,0.17,0.28,2.9,0.01,0.07,0.16,0.01,1.85,0.24,0.19,0.2,0.02,0.34,0.08,0.33,1.03,0.04,4.95,0.11,1.62,8.51,0.09,0.02,0.13,0.1,0.08,0.44,0.83
tt0844471,6.9,Cloudy with a Chance of Meatballs_0844471,18758,4.24,226,0.1,0.53,1.27,0.06,0.02,0.01,0.12,0.03,2.41,0.43,0.56,0.07,0.11,0.65,0.12,2.47,0.6,0.04,0.04,3.84,0.07,36.32,0.51,0.06,0.3,0.05,0.07,0.7,9.06,0.02,1.35,0.64,0.37,0.46,0.33,1.2,0.18,0.17,0.14,3.09,0.05,0.02,0.17,0,1.42,0.45,0.12,0.07,0,0.24,0.05,0.42,0.91,0.01,2.98,0.06,1.12,8.82,0.07,0,0.13,0.06,0.04,0.27,0.54
tt1060277,7,Cloverfield_1060277,26767,4.17,222,0.06,0.7,1.26,0,0.01,0.11,0.13,0.01,2.91,0.37,0.66,0.03,0.18,0.58,0.16,3.77,0.81,0.06,0.07,2.34,0.05,28.99,0.96,0.07,0.31,0.04,0.13,0.48,8.2,0,1.61,1.11,0.61,0.5,0.29,2.35,0.15,0.1,0.27,3.51,0.02,0.12,0.25,0,1.14,0.16,0.28,0.03,0,0.47,0.04,0.55,1.55,0.02,4.31,0.04,1.42,10.16,0.17,0,0.22,0.04,0.03,0.38,0.91
tt0112697,6.9,Clueless_0112697,13164,4.02,299,0.2,0.58,2.42,0.01,0.08,0.01,0.28,0.02,3.75,0.81,0.88,0.17,0.1,1.15,0.15,5.27,0.45,0.05,0.07,3.49,0.11,29.95,0.58,0.12,0.26,0.02,0.21,0.44,5.99,0.02,1.37,0.42,0.71,0.87,0.05,2.04,0.69,0.45,0.4,3.42,0.03,0.02,0.28,0,3.87,0.21,0.15,0.14,0.01,0.51,0.05,0.26,1.22,0.02,2.13,0.1,2.32,8.96,0.25,0.02,0.34,0.05,0.02,0.17,1.51
tt0088930,7.3,Clue_0088930,19064,4.32,214,0.17,0.91,1.72,0.06,0.05,0.02,0.21,0.02,1.93,0.4,0.36,0.09,0.14,0.31,0.37,2.73,0.34,0.05,0.16,3.39,0.09,29.34,0.41,0.05,0.58,0.1,0.28,0.68,7.3,0.05,1.18,0.55,0.4,0.54,0.19,1.44,0.46,0.17,0.33,4.15,0.03,0.1,0.21,0,1.55,0.48,0.23,0.19,0.01,0.25,0.18,0.35,1.01,0.02,4.94,0.04,1.56,9.55,0.1,0.02,0.18,0.12,0.03,0.2,0.91
tt0080549,7.5,Coal Miner s Daughter_0080549,23931,4.14,222,0.07,0.37,1.22,0.02,0.02,0,0.23,0.02,3.03,0.56,0.41,0.1,0.06,0.75,0.08,3.33,0.33,0.07,0.09,3.62,0.04,28.39,0.37,0.05,0.38,0.07,0.04,0.64,7.65,0,0.99,0.69,0.53,0.34,0.37,1.48,0.53,0.15,0.38,4.03,0.03,0.04,0.14,0,2.57,0.36,0.17,0.23,0.01,0.4,0.02,0.61,1.05,0.01,4.43,0.03,1.69,9.47,0.15,0.02,0.14,0.06,0.05,0.32,1.35
tt0109450,6.4,Cobb_0109450,27763,4.13,231,0.1,0.69,1.81,0.04,0.04,0.03,0.13,0.01,2.43,0.44,0.43,0.06,0.2,0.46,0.14,3.26,0.37,0.04,0.14,4.02,0.05,30.22,0.55,0.04,0.48,0.08,0.2,0.65,8.31,0.02,1.03,0.47,0.31,0.61,0.32,1.31,0.4,0.15,0.36,3.1,0.04,0.06,0.16,0,1.81,0.27,0.12,0.1,0,0.28,0.06,0.37,1.27,0.06,3.56,0.05,2.17,8.31,0.12,0.04,0.09,0.14,0.06,0.25,0.95
tt2380307,8.4,Coco_2380307,22978,4.28,210,0.05,0.37,1.41,0.07,0.02,0.04,0.21,0,2.35,0.38,0.37,0.07,0.16,0.54,0.1,3.32,0.5,0.03,0.06,2.78,0.11,36.18,0.7,0.03,0.41,0.08,0.13,0.48,7.64,0,0.91,0.65,0.42,0.42,0.27,1.51,0.35,0.12,0.2,2.64,0.04,0.06,0.12,0,2.25,0.24,0.14,0.2,0,0.3,0.07,0.33,1.49,0.07,4.26,0.04,1.43,9.06,0.08,0.02,0.11,0.12,0.04,0.29,0.68
tt0088936,6.1,Code of Silence_0088936,17944,4.31,231,0.03,0.87,1.15,0.06,0,0.01,0.08,0.01,1.28,0.33,0.26,0.05,0.07,0.3,0.09,1.45,0.69,0.03,0.03,3.72,0.01,34.76,0.94,0.02,0.54,0.04,0.2,0.77,10.1,0,0.85,0.83,0.24,0.32,0.37,1,0.21,0.09,0.22,2.13,0,0.08,0.15,0.01,1.37,0.38,0.15,0.07,0.01,0.22,0.02,0.4,0.8,0.02,4.47,0.04,1.08,9.49,0.05,0.03,0.09,0.1,0.07,0.43,0.48
tt0159365,7.2,Cold Mountain_0159365,30347,4.16,225,0.09,0.38,1.46,0.02,0.01,0.02,0.22,0.04,2.96,0.62,0.4,0.05,0.15,0.31,0.29,2.84,0.68,0.03,0.08,3.51,0.07,30.3,0.38,0.08,0.42,0.14,0.21,0.59,9.16,0.03,1.27,0.86,0.48,0.59,0.53,1.23,0.49,0.15,0.31,2.84,0.1,0.08,0.16,0,1.66,0.32,0.15,0.16,0.01,0.29,0.04,0.39,0.96,0.01,5.29,0.02,1.45,9.69,0.1,0.04,0.07,0.07,0.07,0.44,0.94
tt5437928,6.7,Colette_5437928,23799,4.34,250,0.21,0.44,1.89,0.06,0.03,0.03,0.18,0.03,2.58,0.33,0.45,0.09,0.16,0.53,0.18,3.37,1.09,0.04,0.07,4.11,0.11,30.5,0.94,0.03,0.45,0.06,0.24,0.64,7.61,0.01,1.55,0.44,0.42,0.66,0.31,1.4,0.64,0.2,0.53,3.2,0,0.08,0.24,0,2.21,0.3,0.15,0.14,0.01,0.27,0.08,0.5,0.89,0.03,4.16,0.08,1.45,9.24,0.05,0.02,0.18,0.08,0.05,0.2,0.89
tt0699285,7.6,Collateral Damage_0699285,29220,4.36,249,0.04,0.76,1.02,0.08,0.02,0.01,0.1,0.02,2.04,0.28,0.2,0.01,0.2,0.44,0.21,1.41,0.51,0.02,0.05,3.79,0.02,31.96,0.87,0.06,0.41,0.05,0.18,0.79,8.75,0.01,1,0.97,0.4,0.39,0.29,1.37,0.34,0.11,0.16,3.26,0.05,0.02,0.15,0,0.74,0.39,0.22,0.12,0,0.27,0.02,0.56,0.92,0.02,4.22,0.03,1.03,9.06,0.03,0.01,0.05,0.04,0.1,0.4,0.68
tt0369339,7.5,Collateral_0369339,26233,4.28,250,0.03,0.5,1.42,0.04,0.02,0.01,0.15,0.01,2.45,0.37,0.36,0.09,0.17,0.23,0.14,2.15,0.85,0.05,0.12,4.11,0.03,32.59,0.84,0.1,0.36,0.08,0.09,0.43,8.18,0.02,1.08,0.8,0.24,0.44,0.62,1.48,0.3,0.2,0.17,2.97,0.02,0.05,0.07,0,1.76,0.38,0.16,0.13,0,0.29,0.02,0.33,0.85,0.02,3.77,0.03,1.48,7.9,0.1,0.02,0.19,0.05,0.05,0.4,0.95
tt1657507,6.4,Colombiana_1657507,25820,4.1,212,0.18,0.77,1.17,0.02,0.03,0,0.14,0.01,1.23,0.34,0.4,0.07,0.12,0.58,0.13,1.94,0.69,0.04,0.12,3.46,0.07,30.26,0.94,0.07,0.34,0.12,0.2,0.27,9.65,0.02,0.99,0.7,0.3,0.32,0.4,1.57,0.32,0.16,0.19,2.91,0.04,0.05,0.14,0,1.75,0.48,0.14,0.21,0.01,0.29,0.03,0.25,1.15,0.02,5.46,0.06,1.17,9.52,0.13,0.01,0.1,0.08,0.12,0.58,0.72
tt0109456,5.2,Color of Night_0109456,28512,4.05,198,0.33,0.67,1.66,0.02,0.07,0.01,0.18,0.01,2.3,0.45,0.62,0.06,0.12,0.69,0.18,3.56,0.62,0.09,0.1,3.93,0.11,26.98,0.37,0.13,0.47,0.14,0.24,0.4,8.2,0.05,1.12,0.81,0.48,0.54,0.16,1.88,0.39,0.18,0.23,3.52,0.09,0.16,0.17,0,2.48,0.39,0.26,0.08,0.01,0.39,0.14,0.39,1.06,0.05,5.11,0.04,1.71,10.64,0.09,0.01,0.2,0.07,0.11,0.35,1.02
tt0099291,6.7,Come See the Paradise_0099291,10202,3.84,184,0.1,0.56,2.83,0.01,0.2,0,0.34,0.05,4.86,0.66,0.55,0.07,0.2,0.9,0.16,4.9,0.19,0.19,0.05,3.24,0.2,26.01,0.27,0.04,0.51,0.11,0.22,0.29,5.79,0,1.7,0.3,0.81,1.13,0,1.71,0.78,0.29,0.58,4.04,0.02,0.11,0.17,0,4.13,0.29,0.21,0.32,0.02,0.45,0.15,0.33,1.72,0.02,3.37,0.05,3.7,8.16,0.15,0.01,0.25,0.12,0.08,0.16,2.09
tt0077362,7.3,Coming Home_0077362,29006,4.09,229,0.06,0.2,1.67,0.04,0.02,0.02,0.13,0.01,2.68,0.46,0.53,0.09,0.11,0.59,0.17,3.32,0.61,0.07,0.03,3.19,0.07,31.18,0.67,0.06,0.41,0.1,0.18,0.66,8.31,0,0.99,0.66,0.41,0.6,0.31,1.58,0.6,0.21,0.23,2.9,0,0.04,0.17,0,2.04,0.31,0.19,0.1,0,0.32,0.04,0.35,1.26,0.01,3.56,0.06,1.65,10.04,0.11,0,0.13,0.08,0.06,0.23,0.99
tt0088944,6.7,Commando_0088944,17007,4.29,221,0.05,0.27,0.81,0,0.02,0,0.11,0.02,1.25,0.12,0.24,0.02,0.1,0.25,0.12,1.24,0.6,0.02,0.05,2.7,0.03,33.55,0.41,0.08,0.27,0.02,0.11,1.31,9.21,0.01,0.93,1.25,0.2,0.22,0.34,1.05,0.29,0.09,0.1,3.23,0.02,0.01,0.06,0.01,0.95,0.27,0.39,0.05,0,0.2,0.02,0.32,1.3,0.01,4.99,0.05,0.75,9.86,0.07,0.01,0.07,0.02,0.05,0.41,0.41
tt0407680,4.3,Complete Guide to Guys_0407680,18383,4.14,245,0.08,0.88,1.59,0.01,0.14,0.02,0.28,0.08,3.05,0.76,0.96,0.09,0.13,1.2,0.28,2.68,0.43,0.13,0.09,3.69,0.11,28.53,0.62,0.14,0.32,0.04,0.1,0.63,7.45,0.01,1.41,0.38,0.63,0.48,0.18,2.3,0.58,0.28,0.44,4.02,0.05,0.05,0.16,0.01,1.89,0.43,0.17,0.21,0.01,0.55,0.14,0.41,1.71,0.08,4.29,0.14,1.8,9.01,0.18,0.03,0.19,0.13,0.07,0.16,1.31
tt0118880,6.9,Con Air_0118880,31478,4.22,261,0.05,0.53,1.1,0.03,0.02,0,0.13,0.02,1.95,0.47,0.45,0.07,0.1,0.33,0.15,2.15,0.3,0.05,0.05,3.43,0.06,36.91,0.69,0.03,0.41,0.05,0.19,0.62,7.62,0.01,1.01,0.57,0.26,0.31,0.37,1.12,0.37,0.16,0.18,2.25,0.04,0.03,0.08,0,1.56,0.24,0.19,0.15,0,0.21,0.04,0.35,0.76,0.01,3.16,0.02,1.15,8.34,0.03,0.01,0.09,0.02,0.05,0.24,0.77
tt0816462,5.2,Conan the Barbarian_0816462,23486,4.33,243,0.04,0.51,0.95,0.05,0.03,0.02,0.08,0.03,1.37,0.33,0.19,0.09,0.38,0.39,0.11,2,0.43,0.01,0.11,5.04,0.13,30.56,0.61,0.07,0.5,0.13,0.19,0.59,9.14,0.01,1.08,1.08,0.29,0.34,0.78,1.12,0.68,0.12,0.19,3.14,0.03,0.03,0.17,0,1.67,0.27,0.18,0.22,0.01,0.23,0.04,0.51,1.21,0.01,5.51,0.09,1.18,8.33,0.05,0.03,0.15,0.06,0.13,0.46,0.61
tt1637574,8.2,Conan_1637574,27299,4.39,218,0.07,0.84,0.97,0.06,0.01,0.01,0.19,0.03,0.48,0.21,0.18,0.03,0.15,0.37,0.11,1.27,0.37,0,0.05,4.99,0.11,32.96,0.51,0.03,0.52,0.12,0.16,1.16,9.59,0.01,0.82,1.03,0.21,0.36,0.75,0.92,0.39,0.04,0.09,2.73,0.01,0.08,0.12,0,1.03,0.13,0.16,0.19,0,0.16,0.04,0.32,0.84,0.04,5.82,0.04,0.98,8.31,0.03,0,0.05,0.08,0.13,0.37,0.5
tt3322364,7.1,Concussion_3322364,28504,4.42,246,0.06,1.43,1.59,0.01,0.12,0,0.18,0.03,2.58,0.52,0.68,0.27,0.1,0.58,0.19,2.92,0.56,0.06,0.05,4.53,0.03,32.21,0.76,0.05,0.33,0.07,0.21,0.48,7.86,0.02,0.96,0.42,0.36,0.6,0.42,1.47,0.32,0.26,0.39,3.36,0.02,0.02,0.13,0,1.8,0.32,0.24,0.16,0.01,0.33,0.04,0.55,1.26,0.02,3.95,0.06,1.65,7.82,0.17,0,0.15,0.1,0.07,0.53,0.96
tt0270288,7,Confessions of a Dangerous Mind_0270288,24563,4.34,225,0.14,0.44,1.98,0.02,0.03,0.01,0.13,0.02,2.93,0.49,0.6,0.13,0.12,0.63,0.22,3.65,0.55,0.07,0.07,4.34,0.08,31.69,0.78,0.07,0.46,0.04,0.13,0.73,7.63,0,1.21,0.53,0.39,0.79,0.19,1.54,0.38,0.14,0.28,2.82,0.02,0.11,0.12,0,2.39,0.28,0.16,0.1,0,0.28,0.06,0.46,1.03,0.01,3.14,0.03,1.66,9.77,0.15,0,0.14,0.08,0.06,0.3,1.05
tt0068408,6.1,Conquest of the Planet of the Apes_0068408,19919,4.55,253,0.09,0.75,0.88,0.05,0.01,0.03,0.08,0.05,0.8,0.34,0.28,0.07,0.21,0.23,0.14,1.46,0.82,0.02,0.05,4.41,0.08,32.74,1.3,0.11,0.61,0.09,0.33,0.77,9.69,0.08,0.73,0.74,0.32,0.35,0.39,1.15,0.33,0.07,0.23,3.55,0.09,0.09,0.12,0,0.73,0.25,0.22,0.09,0.02,0.27,0.11,0.39,1.38,0.05,3.44,0.08,1.1,7.11,0.04,0.04,0.02,0.1,0.08,0.37,0.38
tt0118883,6.7,Conspiracy Theory_0118883,23795,4.22,205,0.05,0.14,1.48,0.04,0.04,0,0.15,0.01,2.53,0.32,0.43,0.05,0.16,0.45,0.14,2.37,0.54,0.07,0.05,3.25,0.09,31.57,0.81,0.03,0.47,0.06,0.15,0.43,7.8,0.01,1.38,0.86,0.41,0.53,0.23,1.71,0.37,0.15,0.18,3.48,0,0.09,0.11,0,1.93,0.53,0.22,0.1,0.01,0.29,0.06,0.29,1.19,0.01,4.98,0.01,1.66,10.13,0.18,0.04,0.16,0.12,0.06,0.31,1.07
